sentence,language
Ovacık est une ville et un district de la province de Karabük dans la région de la mer Noire en Turquie.,french
"Ruben Marinelarena Gallego, né le 20 novembre 1979 à Chicago, est un homme politique américain, représentant démocrate de l'Arizona à la Chambre des représentants des États-Unis depuis 2015.",french
"Friedrich (von) Spiegel, né le 11 juillet 1820 à Kitzingen et mort le 15 décembre 1905 à Munich, est un orientaliste et iranologue allemand. Il était membre-correspondant des académies de Munich (1848, membre à part entière en 1891), de Berlin, de Saint-Pétersbourg et de l'institut de France.",french
Cette page concerne l'année 336 av. J.-C. du calendrier julien proleptique.,french
"Taiko Hirabayashi (平林 たい子 Hirabayashi Taiko, 3 octobre 1905 - 17 février 1972) est le nom d'auteur d'une écrivaine japonaise dont le nom véritable est Tai Hirabayashi.",french
Cette liste non exhaustive recense les principaux sites mégalithiques du comté de Kildare.,french
"Cyril Revillet est un footballeur français né le 13 novembre 1974 à Aubagne. Son poste de prédilection est milieu de terrain (1,70 m pour 68 kg).",french
"Les Jeux de Salt Lake City constituent la cinquième participation de la Jamaïque à des Jeux olympiques d'hiver. Sa délégation comprenant deux athlètes (deux hommes) ne couvre que les épreuves de bobsleigh. La nation terminera 28e de la catégorie du bob à deux pour son unique participation à une épreuve, elle ne remporte donc aucune médaille.",french
"Le piz Spinas est un sommet des Alpes, situé à cheval sur la Suisse (canton des Grisons) et l'Italie (Lombardie). Il s'agit d'un sommet situé à l'ouest du piz Palü, dans la région d'Engadine. Il culmine à 3 823 m d'altitude. Son accès est possible en réalisant la traversée des trois sommets du piz Palü. Il fait partie de la chaîne de la Bernina.

 Portail de la montagne   Portail des Alpes   Portail géographie de la Suisse   Portail du canton des Grisons   Portail de la Lombardie",french
"Antonio Viola (né le 21 septembre 1990 à Potenza) est un coureur cycliste italien, professionnel entre 2014 et 2016. Il met un terme à sa carrière à l'issue de la saison 2016.",french
"Guillaume Stanczyk, né le 15 novembre 1975 à Palaiseau, est un animateur de télévision et chroniqueur français (d'origine polonaise).",french
Les championnats du monde de VTT marathon 2007 ont lieu à Verviers en Belgique le 12 août 2007.,french
"Solea solea

La sole commune  ou sole franche (Solea solea) est un poisson plat marin de la famille des soléidés (soleidae).",french
"Nikolay Sedyuk (né le 29 avril 1988 à Gorki) est un athlète russe, spécialiste du lancer du disque.",french
Quiroga est une commune de la province de Lugo en Espagne située dans la communauté autonome de Galice.,french
Cécile Ibanez est une joueuse de football belge née le 7 août 1987 à Hannut ( Belgique).,french
Carex yulungshanensis est une espèce de plantes du genre Carex et de la famille des Cyperaceae.,french
"Obergailbach est une commune française située dans le département de la Moselle, en Lorraine, dans la région administrative Grand Est. Le village fait partie du pays de Bitche, du Parc naturel régional des Vosges du Nord et du bassin de vie de la Moselle-est.",french
(33991) Weixunjing est un astéroïde de la ceinture principale d'astéroïdes découvert en 2000.,french
"Les Nouveaux Chiens de garde est un essai de Serge Halimi concernant les médias, paru en 1997 et actualisé en 2005, qui a connu un très fort succès de librairie (250 000 exemplaires) alors même que son auteur a réalisé une promotion très réduite puisqu'il ne l'a pas présenté sur les plateaux de télévision. Le livre a été adapté au cinéma en France en janvier 2012.",french
"La péninsule de Cobourg, ou Cobourg Peninsula en anglais, est une péninsule australienne relevant du Territoire du Nord. D'une superficie d'environ 2 100 km2, elle s'avance vers la mer à 350 km à l'est de Darwin. À peu près inhabitée, elle est entièrement comprise au sein du parc national Garig Gunak Barlu.
Le 8 mai 1974, la péninsule de Cobourg est le premier Site Ramsar reconnu sur la Liste des zones humides d’importance internationale de la Convention de Ramsar,.",french
"Geotrygon frenata

La Colombe à gorge blanche (Geotrygon frenata) est une espèce d'oiseaux de la famille des Columbidae.",french
Roberto Traficante (né le 23 septembre 1984 à Giussano) est un coureur cycliste italien. Il est professionnel de 2006 à 2008 au sein des équipes LPR et Serramenti PVC Diquigiovanni-Androni Giocattoli.,french
"L'abbaye de l'Épau est une ancienne abbaye cistercienne fondée par la reine Bérangère en 1229. Elle est située aux portes de la ville du Mans, sur la rive gauche de l'Huisne, jouxtant la commune d'Yvré-l'Évêque. L'abbaye a failli disparaitre à de nombreuses reprises, tant par les guerres, que par les problèmes financiers survenus à l'époque moderne. Elle est définitivement sauvée par le conseil général de la Sarthe en 1958. Elle fait partie des propriétés historiques du département de la Sarthe.",french
"August Hirt (né le 29 avril 1898 à Mannheim, mort le 2 juin 1945 à Schluchsee) est un anatomiste, de nationalité allemande et suisse. Enseignant aux universités de Heidelberg, Greifswald et Francfort, il était professeur à la Reichsuniversität de Strasbourg. Hirt a effectué des expériences avec le gaz moutarde sur les détenus du camp de concentration de Natzweiler-Struthof et a joué un rôle dans l'assassinat de 87 déportés juifs du camp de concentration d'Auschwitz, qui devaient être utilisés pour constituer une collection de squelettes à l'Institut anatomique de Strasbourg. Il était Hauptsturmfuhrer-SS, membre de l'Institut d'anthropologie raciale « Ahnenerbe » .",french
Les 1ers championnats du monde de natation eurent lieu du 31 août au 9 septembre 1973 à Belgrade (Yougoslavie).,french
"Le Pouhon Pierre-le-Grand est un bâtiment de la ville de Spa, en Belgique qui abrite une source d'eau minérale particulièrement célèbre car fréquentée par le tsar Pierre-le-Grand. Conçu par l'architecte Victor Besme et construit en 1880 il fut rénové en 2009-2012 et abrite aujourd'hui l'office  spadois du tourisme. Le bâtiment est classé.",french
"Le Ménil-Vicomte est une commune française, située dans le département de l'Orne en région Normandie, peuplée de 29 habitants.",french
"Le projet Nouvelle Vallée (en anglais : New Valley Project) ou projet Toshka (en arabe : مفيض توشكى) est un programme du gouvernement égyptien lancé en 1997 par Hosni Moubarak visant à porter la superficie des terres arables en Égypte de 6 % à 35 %. Il consiste en un système de canaux destiné à détourner les eaux du lac Nasser vers des régions désertiques du désert Libyque. Considéré comme un échec 15 ans après son lancement, il est relancé par le président Abdel Fattah al-Sissi en 2016.",french
"Reinette l’Oranaise ou Reinette el Wahrania de son vrai nom Sultana Daoud (en arabe : سلطانة داود) est une chanteuse et une compositrice judéo-algérienne d'expression arabe, parfois française, née en 1918 à Tiaret (Algérie) et décédée le 17 novembre 1998 à Paris.
Elle fut pendant plus d'un demi-siècle une digne représentante du folklore oranais, du houzi et l'auteur de compositions constamment réactualisées.
Sa force de travail, son talent, son œuvre originale et sa bonne humeur l'ont menée à se faire apprécier, au-delà du public juif et arabophone, et fait redécouvrir en France les beautés de la musique arabo-andalouse.",french
"Kyle Porter, né le 19 janvier 1990 à Toronto, est un joueur international canadien de soccer évoluant au poste d'attaquant au York 9 FC en CanPL.",french
"Serilophus lunatus

L'Eurylaime de Gould (Serilophus lunatus), également appelé eurylaime argenté, est une espèce de passereaux de la famille des Eurylaimidae.",french
"Juan Manuel Lillo Díez, né le 3 novembre 1965 à Tolosa (Guipuscoa, Espagne), est un entraîneur espagnol de football. À 29 ans, il est devenu l'entraîneur le plus jeune à avoir entraîné une équipe de la Première division espagnole.
Depuis septembre 2018, il entraîne le Vissel Kobe au Japon.",french
"Nižný Hrušov est une commune du district de Vranov nad Topľou, dans la région de Prešov, en Slovaquie.",french
"Le siège d'Hippone se déroule de juin 430 à août 431. L'armée des Vandales, menée par leur roi Genséric, assiège la ville épiscopale d'Hippone (actuelle Annaba, en Algérie) où s'est replié le comte Boniface, représentant de l'autorité impériale dans la province d'Afrique. Après 14 mois, le siège est finalement levé sans que la ville ne soit prise. C'est pendant ce siège que meurt saint Augustin, évêque de la ville.",french
"Le mundus est chez les Étrusques le nom de la fosse circulaire destinée aux offrandes aux divinités souterraines, dont l'emplacement est défini par le rite de templum du bornage étrusque de fondation des villes.
Ce puits, défini par un axe vertical, équilibre le cardo et le decumanus, les axes horizontaux et orthogonaux du monde, et constitue, renversée, une image du ciel. 
Chez les Romains, ayant repris beaucoup des rites étrusques, il est creusé lors de la fondation de Rome par Romulus près du Comitium et correspondrait à l'emplacement occupé par l'Umbilicus Urbis Romae.",french
"Jürgen Lässig, né le 23 février 1943 à Tuttlingen, est un pilote automobile allemand sur circuits ayant évolué à bord de voitures de sport type Grand Tourisme et Sport-prototypes (essentiellement en DRM et WSC).",french
"John R. Cumpson est un acteur américain du cinéma muet, né le 30 août 1867 à Buffalo, et mort le 15 mars 1913 à New York (États-Unis).",french
Le français est la langue de prestige du Liban[citation nécessaire]. Il est d'ailleurs inscrit dans la constitution.,french
La métropole orthodoxe grecque d'Espagne et du Portugal est une juridiction de l'Église orthodoxe dans la péninsule Ibérique dont le siège est à Madrid en Espagne et rattachée canoniquement au Patriarcat œcuménique de Constantinople. Le primat porte le titre de Métropolite d'Espagne et du Portugal.,french
"Malalag est une municipalité de la province du Davao du Sud, aux Philippines.

 Portail des Philippines",french
Mycena polygramma est une espèce de champignons de la famille des Mycénacées.,french
"Merci, Chérie est la chanson gagnante du Concours Eurovision de la chanson 1966, interprétée par le chanteur autrichien Udo Jürgens, marquant la première victoire de l'Autriche à l'Eurovision.
Outre la version en allemand, Jürgens a également enregistré la chanson sous le même titre en anglais, en espagnol, en français et en japonais, ainsi qu'en italien sous le titre de Merci.",french
"Jean Beaufort (1441 – 4 mai 1471), marquis de Dorset, est un noble qui combattit pour le camp de la Maison de Lancastre au cours de la Guerre des Deux-Roses.
Il était un des fils d'Edmond Beaufort (v.1406-1455), 1er duc de Somerset, et d'Eleanor Beauchamp († 1467). Son frère Henri Beaufort, 2e duc de Somerset, est exécuté pour trahison en 1464 sur ordre du yorkiste Édouard IV, peu après la bataille de Hexham, et meurt sans héritier. Réfugié en Bourgogne auprès de son autre frère Edmond, Jean n'hérite pas de ses terres et titres, car le parlement d'Angleterre les lui confisque à titre posthume. Jean décide néanmoins unilatéralement de porter le titre de « marquis de Dorset » et est désigné ainsi par ses alliés lancastriens.
Jean et Edmond rentrent en Angleterre en novembre 1470, peu après qu'Édouard ait été renversé. Jean commanda l'aile droite de l'armée lancastrienne avec son frère lors de la bataille de Tewkesbury, le 4 mai 1471, où il fut tué. Son frère Edmond fut capturé et exécuté quelques jours après. Edmond et Jean Beaufort furent inhumés dans l'abbaye de Tewkesbury, dans le Gloucestershire.
Les morts de Henri VI et de son fils quelque temps après aboutirent à l'extinction de la maison de Lancastre et de sa branche cadette de Beaufort. Seul son cousin Henri Tudor, le futur roi Henri VII, put se réfugier en Bretagne.",french
"Olivier Taigny (né le 12 novembre 1863 à Paris - mort le 18 août 1941 (à 77 ans) à Paris 1er), est un diplomate et collectionneur d'art français.",french
"Austroleptis est un genre de mouches, le seul de la famille des Austroleptidae. Jusqu'en 2010, il était rattaché à la famille Rhagionidae.",french
"La ligne de Valognes à Barfleur  est une ancienne ligne de chemin de fer française qui reliait entre elles les localités de Valognes, Montebourg à Barfleur en passant par Saint-Vaast-la-Hougue dans le département de la Manche. Elle permettait ainsi une traversée est-ouest du Nord Cotentin.",french
"Les pierres pictes de Ross sont un ensemble de pierres travaillées par les Pictes, confédération de tribus présente dans le nord et le sud de l'Écosse de l'époque romaine au Xe siècle. Un nombre important de ces pierres peut-être trouvé dans la région des Highlands de Ross, et en particulier dans la partie est, dite Easter Ross. La classification en classe et le nom des symboles sont ceux utilisés classiquement pour les Pierres Pictes.",french
"Hello Kitty's Furry Tale Theater est une série télévisée d'animation américano-japonaise en 13 épisodes de 22 minutes (ou 26 segments de 11 minutes), basée sur le personnage d'Hello Kitty. Produite par Dic Entertainment, elle a été diffusée aux États-Unis entre le 19 septembre 1987 et le 12 décembre 1987 sur le réseau CBS.",french
"La chapelle-ermitage Sainte-Anne est une chapelle située à Aillant-sur-Tholon, en France. Elle est consacrée à sainte Anne, mère de la Vierge Marie.",french
Block Party (Dave Chappelle's Block Party) est un documentaire américain réalisé par Michel Gondry sorti le 6 septembre 2006.,french
"Vegbe I est un village de la Région du Centre au Cameroun, localisé dans l'arrondissement de Bikok et le département de la Méfou-et-Akono.",french
"L’université technique de Munich (en allemand : Technische Universität München, TUM) est une université allemande, fondée en 1868 et localisée à Munich. Elle forme actuellement environ 38 000 étudiants avec 501 professeurs. Elle fait partie depuis 2006 des 9 universités allemandes dites « universités d'élite ». Cette appellation amorcée par le plan « initiative d'excellence » signifie que la TU Munich disposera de moyens supplémentaires dans le domaine de la recherche en particulier.
L'université a de nombreux accords de coopérations internationales favorisant les échanges d'étudiants, les doubles diplômes et les projets de recherche :

Top Industrial Managers for Europe (TIME) ;
Liens vers l'Asie organisés en tutorats et stages d'échange (LAOTSE) ;
Université franco-allemande ;
IMCC-USA.Elle compte notamment environ 20 % d'étudiants étrangers soit environ 7 600 étudiants en 2014.
Elle fait partie du consortium d'universités qui délivre le master européen Mamaself dans le cadre du programme Erasmus Mundus.

Master Sciences des matériaux avec l'université de Rennes I, l'université Louis-et-Maximilien de Munich, l'université de Turin.",french
"Ernest Alexandre Étienne Baron était un homme politique français né le 3 mars 1878 à Lauzerte (Tarn-et-Garonne) et décédé le 28 décembre 1948 à Toulouse. Il était membre du Parti républicain, radical et radical-socialiste. Il fut député de Tarn-et-Garonne de 1928 à 1942.",french
"Le rio Lava-Tudo est une rivière brésilienne du sud de l'État de Santa Catarina, et un affluent du rio Pelotas, donc un sous-affluent du fleuve le Rio Uruguay.",french
Bonyhád est une ville et une commune du comitat de Tolna en Hongrie.,french
Medebay Zana est un des 36 woredas de la région du Tigré.,french
"Georges Pierre Beuville, surnommé « La Palette », est un illustrateur français et « Peintre de l'Air » né le 5 février 1902 à Mestry dans le Calvados et mort le 23 avril 1982 à Rochefort-en-Yvelines dans les Yvelines.
Il mène de front une carrière d’illustrateur de presse, de publicitaire, d'illustrateur de livres et d’écrivain.
Il est admiré par et a influencé de nombreux dessinateurs, d'Hergé à Rabaté, en passant par Franquin (qui lui consacre une exposition), Cabu, Bretécher, René Follet ou encore Emmanuel Guibert.",french
"Donald Dufresne (né le 10 avril 1967 à Québec, dans la province du Québec au Canada) est un joueur professionnel retraité de hockey sur glace ayant évolué dans la Ligue nationale de hockey. Dufresne a été entraîneur adjoint et directeur général adjoint de l'équipe de hockey l'Océanic de Rimouski, dans la ligue de hockey junior majeur du Québec. Durant l'été 2012 il est nommé entraîneur adjoint du club école des Canadiens de Montréal, les Bulldogs de Hamilton.",french
"Joaquim Lopes Lobo (né le 18 décembre 1947 à Vieira de Leiria, au Portugal) était un ancien joueur de football portugais. Il a joué principalement dans différents clubs portugais au poste de défenseur.",french
"La skhima (en russe: Схи́ма et grec ancien : σχῆμα qui signifie manière de vivre) est la promesse solennelle, le prononcé de leurs vœux religieux par les moines orthodoxes. Par cette promesse, ils s'engagent à respecter des règles d'ascèse stricte. Le mot skhima désigne aussi la robe de bure portée par les moines ainsi que l'ensemble de leurs vêtements.
Il existe plusieurs degrés dans le monachisme orthodoxe, mais en ce qui concerne la skhima il n'en existe que deux : la grande skhima et la petite. Si ce n'est pas précisé, il s'agit de la grande skhima.",french
"L'Ex-femme de ma vie est une pièce de théâtre de Josiane Balasko, créée le 5 octobre 1988 au Splendid avec, dans les rôles titres, Thierry Lhermitte et Jane Birkin.
La pièce a été publiée en 1989 chez Actes Sud - Papiers.",french
"Skomack Mały est un village polonais de la voïvodie de Varmie-Mazurie, dans le powiat de Giżycko.",french
Nowa Wieś (prononciation polonaise: [ˈnɔva ˈvjɛɕ] ) est un village polonais de la gmina de Lipsko dans la powiat de Lipsko de la voïvodie de Mazovie dans le centre-est de la Pologne.,french
"Eddy Simon est un journaliste et scénariste de bande dessinée français né en 1968 au Havre (Seine-Maritime).
Il est cofondateur du fanzine de bande dessinée Sapristi créé en 1983 et fondateur du fanzine de bande dessinée Dynamick créé en 1985. Ces deux revues publient des auteurs confirmés ainsi que de jeunes dessinateurs comme Hugues Labiano, Kokor, Dan, Stéphane Brangier...",french
Le sondage en archéologie est une technique d'exploration locale d'un milieu particulier qui a pour but de détecter la présence d'éléments pertinents et exploitables sur un plan historique.,french
"Alex Dupont, né le 30 juin 1954 à Dunkerque (Nord), est un footballeur français reconverti entraîneur.",french
"Les pierres de Dare (en anglais : Dare Stones) sont un ensemble de pierres sur lesquelles sont écrit des messages, prétendument par des colons anglais, membres de la colonie perdue de l'île Roanoke au large de la Caroline du Nord.
Les colons ont été vus pour la dernière fois en 1587, lorsque John White, gouverneur de la colonie, rentre en Angleterre pour s'approvisionner. Le retour de White est retardé jusqu'en 1590 et il découvre à son arrivée que tous les colons sont partis. Un message laconique indique qu'ils ont déménagé ailleurs, mais les mauvaises conditions météorologiques obligent White à abandonner les recherches. Aucune trace ultérieure des colons n'est jamais trouvée.
Les pierres prétendent rendre compte de ce qui est arrivé aux colons et seraient les créations d'Eleanor Dare (en), fille de John White et mère de Virginia Dare, la première enfant d'origine anglaise à être née en Amérique du Nord. Le doute sur leur origine et la véracité des messages questionnent les chercheurs, qui n'excluent pas une falsification élaborée.",french
"La saison de Grands Prix automobiles 1924 a été organisée par l'Association Internationale des Automobile Clubs Reconnus (AIACR). Le championnat comportait trois Grandes Épreuves : les 500 miles d'Indianapolis, le Grand Prix de l'ACF et le Grand Prix d'Italie.",french
La saison 2018-2019 de la LFB est la 20e édition de la Ligue féminine de basket.,french
Amaurobius leechi est une espèce d'araignées aranéomorphes de la famille des Amaurobiidae.,french
"Miko Tripalo (Sinj, 16 août 1926 - Zagreb, 11 décembre 1995) est un homme politique yougoslave et Croate, qui s'est notamment porté soutien du Printemps croate des années 1970 et fut à l'origine de la création du Parti populaire croate lors de l'indépendance de la Croatie.",french
"Le Stereden va Bro est un ancien chalutier-thonier français. Son port d'attache actuel est Penzance au Royaume-Uni. C'est un voilier de croisière privé avec un gréement de Ketch aurique à 2 mâts.
Son immatriculation est : SSR A235535.",french
"Louis Ribes, né le 17 novembre 1756 à Vinça (Roussillon) et mort vers 1830 sans doute dans son village natal, est un homme politique français.
Homme de loi, administrateur du département, il est député des Pyrénées-Orientales de 1791 à 1792, siégeant dans la majorité.",french
"Shitkatapult (littéralement catapulte à excréments) est un label de musique électronique allemand créé par Marco Haas, plus connu sous le pseudonyme T.Raumschmiere. En 2000, il est rejoint par le musicien allemand Sascha Ring, lui-même plus connu sous le nom d'Apparat. Outre ses fondateurs, le label regroupe des artistes tels que Kero, Peter Grummich ou Judith Juillerat.
Le label possède également une division, Meteosound.",french
Morgny-la-Pommeraye est une commune française située dans le département de la Seine-Maritime en Normandie.,french
"Jean Couty, né le 12 mars 1907 à Lyon et mort le 14 mai 1991 (à 84 ans) dans cette même ville, est un peintre.",french
"Katinovac est une localité de Croatie située dans la municipalité de Topusko, comitat de Sisak-Moslavina. Au recensement de 2011, elle comptait 90 habitants.",french
La chapelle Notre-Dame de Saint-Yan est la chapelle située dans le cimetière de la commune de Saint-Yan dans le département français de Saône-et-Loire et la région Bourgogne-Franche-Comté. Elle est l'ancienne église paroissiale de la commune depuis la construction de l'église Saint-Oyen.,french
"Le 35 mai (titre original : Der 35. Mai oder Konrad reitet in die Südsee, littéralement : Le 35e de mai, ou Conrad chevauche dans les mers du Sud) est un roman allemand pour la jeunesse écrit par Erich Kästner en 1931. 
En France, il est paru pour la première fois en 1935 aux éditions Librairie des Champs-Élysées sous le titre : Le 35 mai, ou Conrad chevauche vers les mers du Sud.",french
"Les Elegías de varones ilustres de Indias (Élégies des hommes illustres des Indes) sont un poème épique écrit à la fin du  XVIe siècle par le poète et chroniqueur espagnol, Juan de Castellanos,.
Ces élégies font un compte rendu détaillé de la colonisation des Caraïbes et des territoires actuels de la Colombie et du Venezuela. Elles décrivent les entreprises de colonisation et la fondation des villes  et donnent une représentation vivante des cultures autochtones et de l'histoire naturelle, faisant de ce texte une chronique importante des débuts de la colonisation espagnole de l'Amérique. Outre leur valeur historique, elles sont remarquables pour leur utilisation de plusieurs styles littéraires de l'époque de la Renaissance, notamment l'élégie, l'épopée, le conte de pèlerinage, la poésie pastorale, le roman de chevalerie et d'autres formes littéraires.
C'est dans cet ouvrage que paraît la première mention écrite de la pomme de terre (appelée turma, truffe) découverte en Colombie.",french
Jan-Mikael Juutilainen (né le 5 janvier 1988 à Espoo en Finlande) est un joueur professionnel finlandais de hockey sur glace. Il évolue au poste de défenseur.,french
"Ryan Kennedy, surnommé Ron, est un acteur canadien né le 6 décembre 1982 à Winnipeg (Manitoba). Il est surtout connu pour ses rôles dans des films et des séries fantastiques pour la télévision.",french
"L'A80D est un autorail à voie métrique, construit par les établissements Billard à Tours à partir de 1936.",french
"Édouard Manet a réalisé un très grand nombre d'estampes et de dessins, parfois après avoir peint la toile du même sujet, parfois sur commande d'Alfred Cadart, parfois pour illustrer un texte, comme le poème d'Edgar Allan Poe Le Corbeau (poème).
Cette liste non exhaustive s'appuie sur une sélection issue des quatre ouvrages cités en bibliographie. Manet a réalisé près d'une centaine d'estampes dont beaucoup ont donné lieu, après sa mort à des tirages et des re-tirages. Plusieurs catalogues raisonnés de son œuvre gravé ont été publiés, dont Manet œuvre gravé (département des Estampes de la Bibliothèque Nationale de France, Paris, 1977),.",french
L'église Santa Giuliana Falconieri (en français : Sainte-Giuliana-Falconieri) est une église romaine située dans le quartier du Gianicolense sur la piazza Francesco Cucchi.,french
"John Leslie Gainsford, né le 4 août 1938 à Germiston (Afrique du Sud) et mort le 18 novembre 2015 au Cap (Afrique du Sud), est un joueur de rugby à XV sud-africain qui a joué avec l'équipe d'Afrique du Sud. Il jouait au poste de trois-quarts centre (1,83 m pour 82 kg).",french
"Le col Gardena (italien : Passo Gardena ; allemand : Grödnerjoch ; ladin : Ju de Frara ou Jëuf de Frea) est un col de montagne situé dans les Dolomites, Tyrol du Sud en Italie du Nord, province autonome de Bolzano.
À une altitude de 2 121 mètres, le col relie Selva dans le val Gardena sur le côté ouest avec Corvara dans le val Badia. La route comprend une partie du célèbre Ring Sella, dans lequel quatre cols (Gardena, Sella, Pordoi et Campolongo) encerclent le groupe du Sella. La route est empruntée par les touristes, les motocyclistes et les cyclistes pendant l'été. Il y a des logements touristiques sur le col lui-même, et les randonneurs visitent le col pour accéder aux montagnes des Dolomites.

 Portail de la montagne   Portail des Alpes   Portail du Trentin-Haut-Adige",french
"Charlottetown (prononciation en français : [ ʃaʁlɔttawn], en anglais : [ˈʃɑrlətˌtaʊn]) est une ville canadienne, capitale de la province de l'Île-du-Prince-Édouard ; elle est également la plus grande ville de l'île et le chef-lieu du comté de Queens. La ville est nommée en l'honneur de la reine Charlotte, consort du roi George III. Charlottetown est constituée en village en 1855 et désignée comme une ville en 1885. Charlottetown est l'hôte de ce qui est maintenant appelé la Conférence de Charlottetown en 1864, la première étape du processus menant à la Confédération canadienne. Pour cela, la ville adopte la devise Cunabula Foederis, « Berceau de la Confédération ». En 1995 la ville fusionne avec les communautés de Sherwood, Parkdale, Hillsborough Park, West Royalty et East Royalty. Charlottetown comptait 34 562 habitants en 2011 et sa région métropolitaine 64 487, soit un peu moins de la moitié de la population de la province, qui s'élève à 140 204 personnes).",french
"La 1re division d'infanterie est une unité de l'armée allemande qui participe aux guerres austro-prussienne et franco-allemande de 1870. Au déclenchement de la Première Guerre mondiale, la 1re division d'infanterie forme avec la 2e division d'infanterie le Ier corps d'armée, rattaché à la VIIIe armée allemande. Elle commence la guerre sur le front de l'est, elle est engagée dans les batailles de Tannenberg, des lacs de Mazurie. Elle est brièvement transférée sur le front de l'ouest au cours du printemps 1916 et prend part à la bataille de Verdun. À la fin de l'été 1916, la 1re division est de retour sur le front de l'est et combat dans les Carpates. En février 1918, elle est de retour sur le front de l'ouest et participe aux offensives de printemps allemandes, puis aux différents combats défensifs de l'été et de l'automne 1918. Après la signature de l'armistice, la division est transférée en Allemagne où elle est dissoute au cours de l'année 1919.",french
La Lauze est une rivière du sud de la France. C'est un affluent de la Gimone donc un sous-affluent de la Garonne.,french
"Frederick G. Gardiner Expressway, généralement nommée « The Gardiner » par ses riverains, est une voie autoroutière reliant le centre-ville de Toronto, au Canada, à sa banlieue Ouest. Longeant les rives du lac Ontario, elle s'étend de l'échangeur reliant l'autoroute 427 et la Queen Elizabeth Way à l'Ouest à sa jonction avec la Don Valley Parkway à l'Est, située à l'embouchure de la Don River. Sur une partie de son parcours, à l'Est de Dufferin Street, l'autoroute est surélevée et surplombe Lake Shore Boulevard.
Cette voie est nommée en hommage à l'homme politique canadien Frederick Goldwin Gardiner (en), premier président du gouvernement de la municipalité de Toronto.

 Portail de la route   Portail de Toronto",french
La dlala est une tenue traditionnelle algérienne originaire de la ville d'Annaba (anciennement Bône).,french
"Weston est une ville du comté de Middlesex, située dans l'État du Massachusetts, aux États-Unis, dans l'aire urbaine de Boston. La population de la ville est de, d'après le recensement fédéral de 2010, 11 261 habitants et de 11 478 selon le recensement de la ville.
Weston est la banlieue la plus riche de Boston, et possède le plus haut revenu par habitant de l'État. Weston est une des cent villes de plus de 1 000 foyers les plus riches des États-Unis. 
Weston possède également la meilleure école publique du Massachusetts, d'après le Boston Magazine (2009). La ville possède le plus bas taux de criminalité de la banlieue est de Boston. La mairie y a prohibé la vente d'alcool de 1838 à 2005. Le comté est incorporé en 1713. Il est situé sur un haut plateau.",french
"Stéphane Charbonnier, dit Charb, est un dessinateur satirique et journaliste français, né le 21 août 1967 à Conflans-Sainte-Honorine (Yvelines) et mort assassiné le 7 janvier 2015 à Paris.
Il entre à l’hebdomadaire satirique Charlie Hebdo en 1992. Ses dessins apparaissent dans différents journaux et il publie plusieurs ouvrages. Charb devient directeur de la publication de Charlie Hebdo en 2009. Il meurt assassiné le 7 janvier 2015 lors de l’attentat contre Charlie Hebdo.",french
"Diktat est un terme venant d'un mot allemand (Diktat) signifiant « chose dictée ».
Diktat est le terme utilisé pour qualifier le Traité de Versailles, imposé sans négociation, en 1919, à l'Allemagne, par les vainqueurs de la Première Guerre mondiale.",french
"Célia Gohet est une joueuse internationale française de rink hockey née le 8 janvier 1999. Elle a intégré la sélection nationale en 2015 lors du championnat d'Europe 2015 et a participé aux championnats du monde 2016 au Chili et 2017 en Chine. Elle est la sœur jumelle de Lucie Gohet également joueuse dans l’équipe de France féminine de rink hockey,. En 2016-2017, elle évoluait en N1-F avec le CS Noisy le Grand et en N3 avec le Roller Club Sevranais.",french
"Les épreuves de biathlon aux Jeux olympiques d'hiver de 2010 se sont tenues du 13 février 2010 au 26 février 2010 au Parc Olympique de Whistler dans la station de sports d'hiver de Whistler en Colombie-Britannique (Canada).
Le biathlon apparaît pour la première fois au programme des Jeux olympiques d'hiver lors des Jeux olympiques d'hiver de 1960 de Squaw Valley. Une seule épreuve eut lieu. Les femmes devront attendre les Jeux olympiques d'hiver de 1992 d'Albertville pour y figurer.",french
"Ferdinand Daučík, né le 30 mai 1910 à Šahy en Autriche-Hongrie (actuelle Slovaquie) et mort le 14 novembre 1986 à Alcalá de Henares en Espagne, est un footballeur international tchécoslovaque (puis slovaque en 1942), devenu entraîneur de football.",french
Cette page regroupe l'ensemble des monuments classés de la ville belge de Zedelgem.,french
"Nicolas de Myre ou Nicolas de Bari, communément connu sous le nom de « saint Nicolas » est né à Patare, en Lycie (actuelle Turquie), vers 270 et mort à Myre en 345. Évêque de Myre en Lycie, il a probablement participé au premier Concile de Nicée au cours duquel il combat l'arianisme.
Son culte est attesté depuis le VIe siècle en Orient et se répand en Occident depuis l'Italie à partir du XIe siècle. Canonisé, il a été proclamé protecteur de nombreuses nations et de nombreux corps de métiers ; il est un personnage populaire de l'hagiographie chrétienne.
Le 6 décembre, jour de la Saint-Nicolas, est fêté traditionnellement dans plusieurs pays européens du Nord et de l'Est de l'Europe (notamment la Belgique, le Luxembourg, le Nord et l'Est de la France surtout en Lorraine et en Alsace, les Pays-Bas, l'Allemagne et la Suisse) « où il distribue des cadeaux à tous les enfants sages ». Il est également fêté dans quelques régions du Sud-Ouest de la France[Lesquelles ?], de l'Espagne et de l'Italie.
Il est un des saints les plus vénérés de l'Eglise Orthodoxe",french
